soil_vwc,soil_temperature,temperature,rh,rain,wind_speed,doy,hour
22.0,16.0,11.5,94.5,0,1,1,1
22.0,15.33,11.9,92.67,0,0,1,2
22.5,14.5,11.95,92.5,0,0,1,3
23.0,14.0,12.1,91.5,0,0,1,4
22.67,15.0,12.2,91.0,0,0,1,5
22.0,14.0,12.25,90.5,0,0,1,6
22.0,14.0,12.2,88.75,0,0,1,7
23.0,15.0,12.3,87.5,0,0,1,8
22.0,14.0,12.4,86.33,0,0,1,9
22.0,14.0,12.7,84.5,0,0,1,10
22.0,14.0,13.85,81.0,0,0,1,11
22.0,14.0,14.2,78.0,0,0,1,12
22.0,14.0,14.3,78.75,0,0,1,13
22.0,14.0,15.3,75.5,0,0,1,14
22.33,14.33,14.47,79.67,0,1,1,15
22.0,14.0,13.85,81.5,0,0,1,16
22.0,14.5,13.2,83.75,0,0,1,17
22.33,15.33,12.6,86.5,0,0,1,18
22.0,15.0,12.5,85.67,0,0,1,19
22.0,15.33,12.3,85.83,0,0,1,20
22.0,15.0,12.0,85.75,0,0,1,21
22.0,15.0,11.77,85.67,0,0,1,22
22.0,15.0,11.5,86.5,0,0,1,23
22.0,15.0,11.45,86.25,0,1,2,0
22.0,15.0,11.27,86.17,0,0,2,1
22.0,15.0,11.0,86.75,0,0,2,2
22.0,15.5,10.4,86.75,0,1,2,3
22.0,15.0,10.25,87.25,0,0,2,4
22.0,16.0,10.1,87.5,0,0,2,5
22.0,15.0,10.15,87.5,0,0,2,6
22.0,15.0,10.15,87.5,0,0,2,7
22.0,15.0,10.53,86.67,0,0,2,8
22.0,15.0,11.25,84.25,0,0,2,9
22.33,15.0,12.03,81.5,0,0,2,10
22.0,14.5,12.75,79.25,0,1,2,11
22.0,14.33,13.17,77.5,0,1,2,12
22.33,14.33,13.7,75.0,0,1,2,13
22.0,14.0,13.63,76.0,0,2,2,14
22.0,14.33,13.17,76.67,0,1,2,15
22.0,15.0,11.9,81.0,0,1,2,16
22.0,15.0,11.7,81.5,0,0,2,17
22.0,15.0,9.27,89.17,0,0,2,18
22.0,15.33,7.53,92.0,0,0,2,19
22.33,15.67,6.67,93.17,0,0,2,20
22.0,16.5,6.1,94.0,0,0,2,21
22.5,15.5,5.9,94.5,0,0,2,22
22.0,16.0,4.4,95.0,0,0,2,23
22.5,15.0,5.5,95.25,0,0,3,0
22.0,15.0,6.7,95.5,0,0,3,1
22.0,14.5,7.1,95.5,0,0,3,2
22.5,15.0,9.45,95.75,0,0,3,3
22.5,15.0,8.9,95.25,0,0,3,4
22.0,14.0,8.6,95.0,0,0,3,5
22.0,14.33,6.83,95.33,0,0,3,6
22.0,14.0,7.7,95.5,0,0,3,7
22.0,14.5,9.65,95.5,0,0,3,8
22.0,14.5,11.15,92.25,0,0,3,9
22.0,13.5,11.95,86.75,0,0,3,10
22.0,13.33,12.67,83.17,0,1,3,11
22.0,13.0,12.95,81.75,0,1,3,12
22.0,13.0,13.05,80.25,0,1,3,13
22.0,14.0,13.23,78.83,0,2,3,14
